"id","day","interaction","timea","timeb","dur","choice1","choice2","location","partner_gender","partner_status","first","mtone","length","level","igaff","igdom","agval","agarous","stress","health","sbi_extra","sbi_agree","sbi_domin","sbi_quarl","sbi_submi","sbi_agency","sbi_commun","sbi_total","sbi_agree_ips","sbi_domin_ips","sbi_quarl_ips","sbi_submi_ips","sbi_agency_ips","sbi_commun_ips"
103,4,3,1130,1300,60,1,7,5,1,7,0,1,255,5,7,9,9,6,2,0,0,1,0.333333333,0,0.333333333,0,3,0.416666667,0.583333333,-0.083333333,-0.416666667,-0.083333333,0,1
103,4,4,1932,2152,150,3,7,1,1,8,0,0,255,5,8,8,8,6,0,0,0,0.666666667,0,0,0.666666667,-2,2,0.333333333,0.333333333,-0.333333333,-0.333333333,0.333333333,-0.666666667,0.666666667
103,4,5,2200,2330,30,1,7,1,0,9,0,0,18,5,7,4,9,4,0,0,1,0.333333333,0.666666667,0.333333333,0,2,0,0.333333333,0,0.333333333,0,-0.333333333,0.666666667,0
103,5,6,750,830,10,3,7,1,0,9,0,0,18,NA,8,4,7,4,1,2,0,0.333333333,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
103,5,7,1005,1110,10,1,7,3,1,5,1,0,0,1,8,3,8,3,0,2,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
103,5,8,2320,2400,10,4,7,1,0,9,0,1,18,4,9,8,6,3,0,2,0,0.333333333,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
103,6,9,1100,1145,15,5,7,NA,1,7,0,0,255,5,7,8,4,4,3,4,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
103,6,10,1700,2030,180,1,7,1,0,9,0,1,18,5,9,3,3,7,3,4,0,0,1,0.333333333,0,3,-1,0.333333333,-0.333333333,0.666666667,0,-0.333333333,1,-0.333333333
103,7,11,850,902,5,1,7,1,0,9,0,0,18,5,2,9,1,5,4,4,0,0,0,0.333333333,0.666666667,-2,-1,0.25,-0.25,-0.25,0.083333333,0.416666667,-0.666666667,-0.333333333
103,7,12,1055,1245,20,4,7,3,0,9,0,0,18,4,9,4,3,9,4,3,0,0.333333333,0.333333333,0.666666667,0,1,-1,0.333333333,0,0,0.333333333,-0.333333333,0.333333333,-0.333333333
103,7,13,1315,1400,40,1,7,1,0,9,0,0,18,5,9,5,3,8,4,4,0,1,0.333333333,0.333333333,0,1,2,0.416666667,0.583333333,-0.083333333,-0.083333333,-0.416666667,0.333333333,0.666666667
103,7,14,1700,2100,120,1,7,1,0,9,0,1,18,5,6,9,4,7,3,4,0,0.666666667,0.333333333,0.666666667,0,1,0,0.416666667,0.25,-0.083333333,0.25,-0.416666667,0.333333333,0
104,1,1,700,745,45,2,4,4,1,4,0,0,124,4,9,5,7,5,3,1,0,0.333333333,0,0.333333333,0.666666667,-2,0,0.333333333,0,-0.333333333,0,0.333333333,-0.666666667,0
104,1,2,530,620,50,7,7,1,0,NA,0,0,420,5,9,5,9,5,0,0,0,0.666666667,0.333333333,0,0.666666667,-1,2,0.416666667,0.25,-0.083333333,-0.416666667,0.25,-0.333333333,0.666666667
104,1,3,1000,1020,20,3,6,NA,1,2,NA,0,12,2,8,7,8,7,3,1,0,0.333333333,1,0,0,3,1,0.333333333,0,0.666666667,-0.333333333,-0.333333333,1,0.333333333
