  169.0000   65.2100  104.7300   82.7300   80.6400  137.2300  128.2400   78.0900  162.7200  133.4100    0.2750    1.0030    1.0280    1.3470    1.0950    1.3580    0.5320    1.1600    1.2470
  178.0000   69.6200  162.0900  121.4100   84.4100  183.6500  155.2200   98.1200  180.6400  166.8500    0.4740    1.7780    1.6910    1.5740    1.8310    2.0330    1.6540    1.3860    2.0500
  183.0000   71.1900  170.9500  110.0400   87.2600  191.1000  137.0700   98.6300  202.8800  162.2900    0.5330    1.9250    1.5190    1.6940    1.8780    1.6180    1.6950    1.9250    1.8640
  203.0000   35.6800  105.2900   71.6900   54.1600  130.0900  103.3900     .         .         .       -1.0590    1.0010    0.8130   -0.1400    1.0340    0.9460     .         .         .    
  211.0000   33.1600     .       48.7700   36.6500   84.2300   73.3900     .         .         .       -1.2940     .        0.1990   -1.0870    0.4380    0.5880     .         .         .    
  218.0000   44.1700  105.3500   86.3400     .         .         .         .         .         .       -0.5440    1.0260    1.0890     .         .         .         .         .         .    
  229.0000   38.8900  105.3200   54.0300   44.4000  133.3700  118.5000   96.8200  164.5500  120.0100   -0.7830    1.0270    0.3760   -0.6110    1.1010    1.2500    1.5530    1.1800    1.0320
  231.0000   29.8600  104.3400   73.8300   42.8500  146.3000  115.2100   87.8400  155.8500  139.6200   -1.2260    0.9890    0.8620   -0.7020    1.2120    1.1620    0.9990    1.0860    1.3550
  251.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
  260.0000   42.9000     .       58.4700     .         .         .         .         .         .       -0.5870     .        0.5090     .         .         .         .         .         .    
  264.0000   46.6800  126.4200  102.1500   58.0500  147.5800  140.2800   70.4400  133.1200  139.4200   -0.4410    1.3840    1.3680    0.0500    1.2500    1.6340    0.2120    0.8660    1.3510
  268.0000   45.7600   70.2800   70.4400   59.7000  106.0000   80.1000   67.0800  106.4500   93.5500   -0.4610    0.4090    0.7950    0.1560    0.7740    0.6210    0.0780    0.6090    0.6580
  280.0000   76.0900  110.3700  110.4900   83.1300  181.6300  141.5500   98.5700  187.3300  157.7000    0.6720    1.1940    1.5210    1.3830    1.7410    1.7000    1.6900    1.4930    1.7300
  283.0000   75.2500     .       72.1200   84.3700  122.3900   89.0200   79.4400  181.7400  103.6300    0.6120     .        0.8320    1.4930    0.9330    0.7930    0.5920    1.4020    0.7950
  291.0000   53.8300   95.7800   84.3700     .         .         .         .         .         .       -0.1170    0.8970    1.0520     .         .         .         .         .         .    
  314.0000   77.4500  164.4600  113.1700   79.4500  181.3100  143.5400  104.0900  195.8900  168.1600    0.8130    1.7870    1.5680    1.2220    1.7200    1.7820    2.2620    1.6780    2.1240
  323.0000   50.7400  162.8500  129.9800     .         .         .         .         .         .       -0.3330    1.7530    1.8900     .         .         .         .         .         .    
  326.0000   66.3500  168.6400  127.2300   82.2400  182.2100  155.9700  104.0100  205.5600  169.1900    0.3410    1.9300    1.7950    1.4690    1.7930    2.0330    2.2500    2.0760    2.1950
  328.0000   58.1200  165.8900  123.0900   72.9600  164.2600  119.2100   97.8500  185.7700  156.6500   -0.0020    1.8630    1.7090    0.8840    1.4460    1.2680    1.6320    1.4660    1.7040
  335.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
  357.0000   67.0400  127.4700  112.1800   84.1900  171.3200  134.9200   95.7800  200.3700  155.6900    0.4040    1.3300    1.5410    1.4650    1.5590    1.5970    1.4780    1.8190    1.6800
  362.0000   51.8900  126.2700   87.3800   71.5200  158.4200  101.9400   91.9400  170.2000  132.7900   -0.2890    1.3180    1.1090    0.8100    1.3890    1.0100    1.2290    1.2470    1.2370
  365.0000   56.6300  114.7400  115.8800   68.7000  152.2400  141.5300   96.7300  191.3700  153.0000   -0.0510    1.1730    1.6300    0.6230    1.3300    1.7010    1.5460    1.5710    1.6180
  380.0000   65.6600  158.5700  126.6200   84.0100  182.9500  139.8600   91.3700  194.7700  160.6600    0.2980    1.7060    1.7900    1.5310    1.8050    1.6350    1.1950    1.6490    1.8130
  391.0000   60.2400  133.4200  120.7000     .         .         .         .         .         .        0.1000    1.3970    1.6830     .         .         .         .         .         .    
  397.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
  405.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
  408.0000   43.9100  124.9600   88.5300     .         .         .         .         .         .       -0.5630    1.2860    1.1380     .         .         .         .         .         .    
  490.0000   42.2600  105.5800   58.9100   50.6300  141.7400   90.2600   59.0700  142.3900   94.3700   -0.6150    1.0270    0.5190   -0.2900    1.1400    0.8210   -0.2300    0.9530    0.6690
