31 24.6 24.682 3.67 34.65 28.68 32.155 3.83
33.12 19.57 28.935 3.5 36.08 31.44 36.407 3.33
33.02 21.07 22.737 2.33 41.38 28.64 26.504 2.33
31.15 24.17 24.079 2.67 39.7 27.71 28.264 2.83
33 41.79 33.161 2.5 37.79 46.9 35.202 2.33
28.84 19.77 30.533 3.33 32.48 30.58 37.537 3
26 17.97 30.121 2.83 30.72 21.91 32.77 2.5
32.83 19.64 15.12 2.5 35.99 26.86 22.703 2.83
26.43 20.39 14.573 3.17 36.47 32 24.98 3.17
29.75 18.58 27.47 3.67 42.05 27.74 25.622 3.33
46.25 40.64 30.74 3.5 49.53 42.63 40.686 3.33
33.73 24.98 21.811 3.17 40.09 34.8 27.272 3.83
23.85 18.07 20.771 3.33 27.84 21.63 30.26 3.17
32.27 19.78 27.461 3.5 36.83 25.55 31.244 3.67
47.8 40.11 40.873 3 57.98 47.56 42.82 3.67
48.56 45.53 30.807 3.83 62.75 55.93 41.699 3.33
36.14 55.17 38.514 3.83 50.18 69.39 41.759 3
43.25 39.9 14.426 . . . . .
56.44 47.25 25.523 3.83 78.06 50.15 36.385 3.17
52.33 36.37 39.685 3.5 85.73 56.38 40.566 3.33
33.61 35.33 39.064 3.5 50.14 46.25 43.7 3
60.05 44.39 40.419 3.67 99.14 58.85 44.165 3.83
39.02 37.89 32.449 3.67 56.48 49.45 38.834 3.83
30.86 21.31 29.147 3.67 46.95 45.74 36.666 3.67
30.31 17.33 19.253 3.5 44.63 30.62 30.056 3.33
37.49 28.91 26.234 3.67 44.62 35.31 39.216 4
25.49 13.39 19.729 . 36.42 24.53 26.994 2.5
31.92 18.21 18.248 3.67 39.02 34.15 27.72 3.33
35.67 46.35 26.817 3 49.82 59.69 33.244 .
32.8 26.73 28.12 3.17 35 28.47 26.651 3.5
24.99 17.45 14.763 3 30.04 21.07 24.065 3
49.66 31.02 27.252 3.17 86.76 46.26 38.12 3.33
30.95 29.58 32.209 3.67 38.93 34.86 35.449 3.67
. . . . 46.04 36.85 24.641 2.67
24.5 15.54 13.958 3.17 . 17.73 14.885 2.83
25.39 17.83 22.709 3 36.22 32.67 24.117 3.33
43.45 38.35 31.903 3.5 74.53 57.87 36.978 3.17
36.53 32.74 42.008 . 51.37 49.32 44.387 .
25.24 21.3 17.577 3 33.65 27.63 24.594 .
31.3 26.68 15.862 . 40.36 27.46 20.36 3
48.88 31.2 30.573 3.5 52.32 42.17 33.003 3.17
35.66 26.98 25.742 2.83 44.22 42.89 29.375 3
24.82 15.98 18.189 3.33 28.09 21.8 18.49 .
22.83 12.55 18.66 2.67 28.2 13.08 18.335 2.33
28.14 26.72 19.009 3.5 32.53 46.79 23.248 2.83
40.68 28.63 22.995 3 44.63 34.76 29.668 3
49.46 37.81 24.432 4 76.16 37.67 31.41 4
23.54 17.83 18.239 2.17 29.17 19.46 18.967 2.5
25.07 13.38 14.85 3.5 31.22 19.73 24.478 2.83
23.04 13.29 13.456 3.5 28.07 18.44 22.675 .
27.43 21.05 11.607 . 35.81 23.86 17.698 .
29.58 28.78 26.778 3.33 45.33 44.55 31.592 3.5
32.64 36.24 28.542 3.17 36.09 51.04 41.508 3.33
35.42 39.55 28.987 2.83 48.35 64.73 32.888 3.33
