13803 1 0 0 60 62 55 30 0 2 0 0 1 0 5 3 130 0 1 0
17201 1 0 0 46 47 51 100 3 3 2 0 1 1 3 2 108 0 1 1
17201 1 0 0 65 59 76 93 1 2 . 2 2 0 5 3 132 0 1 1
18601 0 0 1 27 36 39 . . . . . . . 4 3 113 . 0 .
22104 1 0 0 24 28 28 . 1 . 0 0 . 0 2 2 108 0 1 0
22104 1 0 0 41 33 39 . . 0 3 . 0 0 4 3 132 0 1 2
22901 0 0 0 32 29 30 70 0 2 1 2 2 0 3 2 101 . 0 0
22901 0 0 0 49 47 47 10 0 0 0 1 0 0 5 3 147 . 1 0
23602 0 0 2 57 37 41 60 1 0 2 2 1 0 4 3 117 . 0 1
23701 1 0 3 48 55 54 16 3 2 5 3 2 1 4 2 111 0 0 4
23701 1 0 3 49 49 61 160 3 3 5 4 1 0 6 3 136 0 0 5
24402 1 0 5 44 50 49 20 4 4 4 4 3 1 4 2 109 0 0 7
24402 1 0 5 59 62 55 15 2 4 4 1 4 0 5 3 132 1 0 4
26201 1 0 1 39 45 40 70 0 0 4 1 2 0 2 2 88 0 0 2
26201 1 0 1 68 56 84 20 0 1 1 0 0 0 5 3 131 0 1 1
26201 1 0 1 71 63 81 10 0 0 1 0 0 0 8 4 159 0 0 1
28503 0 0 1 14 18 20 80 1 2 1 3 1 0 2 2 89 . 0 0
28503 0 0 1 48 41 38 60 0 1 2 2 0 1 4 3 133 . 1 1
29201 0 0 1 52 42 40 50 0 1 3 1 0 0 2 2 101 . 1 2
29201 0 0 1 67 63 47 80 0 1 3 2 2 0 4 3 125 . 1 2
29201 0 0 1 65 75 60 30 0 1 2 0 1 0 7 4 152 . 0 2
29201 0 0 1 75 74 76 80 1 1 3 3 1 0 8 5 173 . 1 2
29202 0 0 0 44 . 55 60 0 2 1 0 2 1 2 2 104 . 1 0
29202 0 0 0 64 62 61 60 0 3 2 0 1 0 5 3 132 . 0 0
29202 0 0 0 73 73 78 70 0 4 2 0 0 1 6 4 153 . 1 0
34401 0 0 1 52 55 65 160 4 2 5 1 2 2 2 2 100 . 1 6
34401 0 0 1 67 67 83 110 3 1 5 1 0 1 4 3 124 . 1 4
34401 0 0 1 79 66 81 150 3 4 5 0 1 3 8 4 174 . 0 4
35401 0 0 1 44 57 68 80 2 2 1 2 1 0 3 2 109 . 1 0
35401 0 0 1 64 48 83 40 0 1 0 2 1 0 5 3 133 . 1 0
35401 0 0 1 69 71 74 20 0 1 0 1 0 0 7 4 157 . 1 0
35402 1 0 0 53 52 53 20 0 1 0 1 0 0 3 2 106 0 1 0
35402 1 0 0 45 43 53 20 0 1 0 1 0 0 5 3 129 0 1 0
35402 1 0 0 61 53 64 60 1 2 2 1 1 0 7 4 153 1 1 3
36901 1 1 1 62 43 58 60 1 1 3 0 0 1 3 2 105 0 1 1
36901 1 1 1 65 67 56 30 0 0 3 0 0 0 5 3 130 0 1 1
36901 1 1 1 74 67 72 110 1 3 4 1 0 2 7 4 154 1 1 3
36902 0 0 1 48 44 32 80 0 3 2 2 1 0 2 2 99 . 1 0
36902 0 0 1 62 50 47 90 2 2 1 3 1 0 4 3 122 . 1 0
36902 0 0 1 65 59 55 80 2 0 2 4 2 0 6 4 146 . 1 1
36902 0 0 1 72 65 69 115 1 4 2 4 2 . 8 5 169 . 1 0
37403 0 0 0 37 30 30 60 3 0 0 1 2 0 2 2 97 . 0 0
37403 0 0 0 45 30 57 30 1 1 1 0 1 0 6 3 146 . 0 0
38202 1 0 1 27 19 26 3 1 0 1 1 0 0 2 2 89 0 0 1
38202 1 0 1 38 36 37 90 1 1 2 4 0 1 3 3 113 0 0 0
38802 0 0 0 38 23 23 160 3 4 4 4 1 0 4 3 120 . 1 3
38802 0 0 0 43 28 23 70 1 4 0 2 0 0 6 4 145 . 1 0
40501 0 0 2 42 29 31 90 0 1 3 5 0 0 3 2 103 . 1 1
40501 0 0 2 52 44 46 100 1 2 3 3 0 1 6 3 127 . 1 2
40702 0 0 0 46 40 46 0 0 0 0 0 0 0 2 2 93 . 1 0
40702 0 0 0 52 55 59 10 0 0 0 1 0 0 4 3 117 . 1 0
40702 0 0 0 60 55 67 0 0 0 0 0 0 0 6 4 140 . 1 0
42504 0 0 3 47 47 61 180 3 5 5 3 2 0 4 2 126 . 1 4
42504 0 0 3 64 51 76 140 3 4 4 3 2 0 6 3 150 . 1 4
42505 1 0 0 50 50 65 80 1 2 2 3 0 0 3 2 108 0 1 1
42505 1 0 0 60 42 64 60 0 2 2 1 1 0 5 3 131 0 1 1
42505 1 0 0 53 50 73 50 0 1 1 3 1 0 7 4 154 0 1 0
43103 1 0 3 62 59 76 70 0 4 3 0 1 0 6 3 147 1 1 3
43103 1 0 3 66 59 73 60 0 3 3 0 1 0 8 4 170 1 1 2
45201 0 0 3 40 37 37 90 1 3 2 3 0 0 2 2 97 . 1 1
45201 0 0 3 63 41 41 90 2 0 4 3 0 0 4 3 121 . 1 3
