23701 1 0 3 . . . . . 48 . . . 49 . . . . . . . . . . . 4 . . . 6 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 4 . . . 5 . . . . . .
24402 1 0 5 . . . . 44 . . . 59 . . . . . . . . . . . 4 . . . 5 . . . . . . . . . . . 0 . . . 1 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 7 . . . 4 . . . . . . .
26201 1 0 1 . 39 . . . . . . 68 . . . . 71 . . . 2 . . . . . . 5 . . . . 8 . . . 0 . . . . . . 0 . . . . 0 . . . 0 . . . . . . 1 . . . . 0 . . . 2 . . . . . . 1 . . . . 1 . .
28503 0 0 1 . 14 . . . . . . 48 . . . . . . . . 2 . . . . . . 4 . . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . 1 . . . . . . . . 0 . . . . . . 1 . . . . . . .
29201 0 0 1 . . . 52 . . . 67 . . . 65 . . . 75 . . . 2 . . . 4 . . . 7 . . . 8 . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . 0 . . . 1 . . . 2 . . . 2 . . . 2 . . . 2
29202 0 0 0 . . . 44 . . . . 64 . . . 73 . . . . . . 2 . . . . 5 . . . 6 . . . . . . . . . . . . . . . . . . . . . . 1 . . . . 0 . . . 1 . . . . . . 0 . . . . 0 . . . 0 . . .
34401 0 0 1 . . . 52 . . . 67 . . . . . . . 79 . . . 2 . . . 4 . . . . . . . 8 . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . 0 . . . 6 . . . 4 . . . . . . . 4
35401 0 0 1 . . . . 44 . . . 64 . . . 69 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 0 . . . 0 . . . 0 . . .
35402 1 0 0 . . . . 53 . . . 45 . . . 61 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . 0 . . . 0 . . . 1 . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 0 . . . 0 . . . 3 . . .
36901 1 1 1 . . . . 62 . . . 65 . . . 74 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . 0 . . . 0 . . . 1 . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 1 . . . 1 . . . 3 . . .
36902 0 0 1 . . . 48 . . 62 . . . 65 . . . 72 . . . . 2 . . 4 . . . 6 . . . 8 . . . . . . . . . . . . . . . . . . . . 1 . . 1 . . . 1 . . . 1 . . . . 0 . . 0 . . . 1 . . . 0 .
37403 0 0 0 . . 37 . . . . . . . 45 . . . . . . . 2 . . . . . . . 6 . . . . . . . . . . . . . . . . . . . . . . . 0 . . . . . . . 0 . . . . . . . 0 . . . . . . . 0 . . . . .
38202 1 0 1 . 27 . . . 38 . . . . . . . . . . . 2 . . . 3 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 0 . . . 0 . . . . . . . . . . . 1 . . . 0 . . . . . . . . . .
38802 0 0 0 . . . . . . 38 . . . 43 . . . . . . . . . . . 4 . . . 6 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 3 . . . 0 . . . . .
40501 0 0 2 . . . 42 . . . 52 . . . . . . . . . . . 3 . . . 6 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 1 . . . 2 . . . . . . . .
40702 0 0 0 . . 46 . . . 52 . . 60 . . . . . . . . 2 . . . 4 . . 6 . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . 1 . . . . . . . . 0 . . . 0 . . 0 . . . . . .
42504 0 0 3 . . . . . . . 47 . . . 64 . . . . . . . . . . . 4 . . . 6 . . . . . . . . . . . . . . . . . . . . . . . . . . . 1 . . . 1 . . . . . . . . . . . 4 . . . 4 . . . .
42505 1 0 0 . . . . 50 . . . 60 . . . 53 . . . . . . . 3 . . . 5 . . . 7 . . . . . . . 0 . . . 0 . . . 0 . . . . . . . 1 . . . 1 . . . 1 . . . . . . . 1 . . . 1 . . . 0 . . .
43103 1 0 3 . . . . . . . . . . . 62 . . 66 . . . . . . . . . . . . 6 . . 8 . . . . . . . . . . . . 1 . . 1 . . . . . . . . . . . . 1 . . 1 . . . . . . . . . . . . 3 . . 2 .
