151 7 . 7 . 1 . 0 . 0 . 1 . 0 . 0 . 3 .
152 7 . 2 . 7 . 0 . 0 . 0 . 0 . 2 . 0 .
154 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
155 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
156 7 . . . . . 0 . . . . . 0 . . . . .
157 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
158 . 7 . . . . . 0 . . . . . 0 . . . .
160 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
161 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
162 2 . 7 . 1 . 0 . 0 . 1 . 2 . 0 . 3 .
163 4 . 1 . 1 . 0 . 1 . 1 . 2 . 3 . 3 .
165 . 7 . . . . . 0 . . . . . 0 . . . .
167 . 7 . 4 . . . 0 . 0 . . . 0 . 2 . .
170 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
171 . . . . 1 . . . . . 1 . . . . . 3 .
176 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
177 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
178 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
179 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
180 . . . . . 7 . . . . . 0 . . . . . 0
181 . . 1 . 7 . . . 1 . 0 . . . 3 . 0 .
182 7 . 1 . 6 . 0 . 1 . 0 . 0 . 3 . 1 .
183 . . . . 7 . . . . . 0 . . . . . 0 .
184 . . 7 . . . . . 0 . . . . . 0 . . .
185 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
186 . 7 . . . . . 0 . . . . . 0 . . . .
187 . . . 5 . 7 . . . 0 . 0 . . . 1 . 0
188 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
189 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
190 . 1 . 7 . 5 . 1 . 0 . 0 . 3 . 0 . 1
191 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
192 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
193 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
194 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
195 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
196 1 . . . . . 1 . . . . . 3 . . . . .
197 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3 .
198 . 1 . 3 . 1 . 1 . 0 . 1 . 3 . 2 . 3
199 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3 .
200 . 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3
201 . 5 . 1 . 1 . 0 . 1 . 1 . 1 . 3 . 3
202 . 1 . 2 . 2 . 1 . 0 . 0 . 3 . 2 . 2
203 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
204 . . . . 4 . . . . . 0 . . . . . 2 .
205 5 . 1 . 1 . 0 . 1 . 1 . 1 . 3 . 3 .
206 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
207 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
210 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
211 . 2 . 1 . 1 . 0 . 1 . 1 . 2 . 3 . 3
212 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
214 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
